pitcher_name,ERA,IP,G,GS,year
Zac Gallen,3.62,243.2,40,40,2023
Zack Wheeler,3.4,219.2,37,36,2023
Jordan Montgomery,3.15,219.2,38,37,2023
Aaron Nola,4.24,216.2,36,36,2023
Logan Webb,3.25,216.0,33,33,2023
Framber Valdez,3.77,210.0,34,34,2023
Gerrit Cole,2.63,209.0,33,33,2023
Pablo L\xc3\xb3pez,3.48,206.2,34,34,2023
Merrill Kelly,3.17,201.2,34,34,2023
Miles Mikolas,4.78,201.1,35,35,2023
Chris Bassitt,3.6,200.0,33,33,2023
Spencer Strider,3.79,199.1,34,34,2023
Corbin Burnes,3.51,197.2,33,33,2023
Luis Castillo,3.34,197.0,33,33,2023
Kyle Gibson,4.71,195.0,34,33,2023
Mitch Keller,4.21,194.1,32,32,2023
Sonny Gray,2.84,193.0,34,34,2023
Jos\xc3\xa9 Berr\xc3\xados,3.64,192.2,33,33,2023
George Kirby,3.35,190.2,31,31,2023
Logan Gilbert,3.73,190.2,32,32,2023
Kevin Gausman,3.24,189.0,32,32,2023
Lance Lynn,5.84,186.1,33,33,2023
Sandy Alcantara,4.14,184.2,28,28,2023
Lucas Giolito,4.88,184.1,33,33,2023
Jes\xc3\xbas Luzardo,3.65,182.2,33,33,2023
Zach Eflin,3.65,182.2,32,32,2023
Nathan Eovaldi,3.49,180.2,31,31,2023
Justin Verlander,3.19,180.2,30,30,2023
Patrick Corbin,5.2,180.0,32,32,2023
Blake Snell,2.25,180.0,32,32,2023
Dane Dunning,3.76,179.2,40,26,2023
Johan Oviedo,4.31,177.2,32,32,2023
Jordan Lyles,6.28,177.2,31,31,2023
Bryce Elder,4.06,177.1,32,32,2023
Dylan Cease,4.58,177.0,33,33,2023
Dean Kremer,4.39,174.1,33,33,2023
Kyle Bradish,2.86,173.1,31,31,2023
Justin Steele,3.06,173.1,30,30,2023
Cristian Javier,4.53,173.0,34,34,2023
Taijuan Walker,4.38,172.2,31,31,2023
JP Sears,4.54,172.1,32,32,2023
Freddy Peralta,3.96,170.2,31,31,2023
Yusei Kikuchi,3.88,169.1,33,32,2023
Kodai Senga,2.98,166.1,29,29,2023
Joe Ryan,4.51,163.2,30,30,2023
Charlie Morton,3.64,163.1,30,30,2023
Jon Gray,4.03,163.0,32,29,2023
Hunter Brown,4.98,162.2,35,29,2023
Braxton Garrett,3.71,162.2,32,31,2023
Max Scherzer,3.94,162.1,30,30,2023
Brady Singer,5.52,159.2,29,29,2023
Josiah Gray,3.91,159.0,30,30,2023
Clarke Schmidt,4.64,159.0,33,32,2023
Andrew Heaney,4.15,158.1,39,31,2023
Brayan Bello,4.24,157.0,28,28,2023
Kyle Freeland,5.03,155.2,29,29,2023
Michael Lorenzen,4.1,155.2,31,25,2023
Jameson Taillon,4.84,154.1,30,29,2023
Eduardo Rodr\xc3\xadguez,3.3,152.2,26,26,2023
Alex Cobb,3.87,151.1,28,28,2023
Ryne Nelson,5.33,150.1,32,27,2023
Reid Detmers,4.48,148.2,28,28,2023
Bailey Ober,3.69,148.2,28,27,2023
Rich Hill,5.41,146.1,32,27,2023
Seth Lugo,3.57,146.1,26,26,2023
Jack Flaherty,4.98,146.1,30,27,2023
Mart\xc3\xadn P\xc3\xa9rez,4.61,146.1,38,20,2023
Graham Ashcraft,4.76,145.2,26,26,2023
Patrick Sandoval,4.11,144.2,28,28,2023
