pitcher_name,ERA,IP,G,GS,year
Chris Sale,2.9,214.1,32,32,2017
Ervin Santana,3.28,211.1,33,33,2017
Jeff Samardzija,4.42,207.2,32,32,2017
Justin Verlander,3.36,206.0,33,33,2017
Carlos Mart\xc3\xadnez,3.64,205.0,32,32,2017
Corey Kluber,2.25,203.2,29,29,2017
Rick Porcello,4.65,203.1,33,33,2017
Gerrit Cole,4.26,203.0,33,33,2017
Zack Greinke,3.2,202.1,32,32,2017
Jacob deGrom,3.53,201.1,31,31,2017
Gio Gonzalez,2.96,201.0,32,32,2017
Chris Archer,4.07,201.0,34,34,2017
Marcus Stroman,3.09,201.0,33,33,2017
Max Scherzer,2.51,200.2,31,31,2017
Carlos Carrasco,3.29,200.0,32,32,2017
Clayton Richard,4.79,197.1,32,32,2017
Luis Severino,2.98,193.1,31,31,2017
Zach Davies,3.9,191.1,33,33,2017
R.A. Dickey,4.26,190.0,31,31,2017
Patrick Corbin,4.03,189.2,33,32,2017
Jose Quintana,4.15,188.2,32,32,2017
Julio Teheran,4.49,188.1,32,32,2017
Iv\xc3\xa1n Nova,4.14,187.0,31,31,2017
Kevin Gausman,4.68,186.2,34,34,2017
Yu Darvish,3.86,186.2,31,31,2017
Lance Lynn,3.43,186.1,33,33,2017
Mike Leake,3.92,186.0,31,31,2017
Marco Estrada,4.98,186.0,33,33,2017
Mart\xc3\xadn P\xc3\xa9rez,4.82,185.0,32,32,2017
Dan Straily,4.26,181.2,33,33,2017
Tanner Roark,4.67,181.1,32,30,2017
Ricky Nolasco,4.92,181.0,33,33,2017
Jon Lester,4.33,180.2,32,32,2017
Jason Hammel,5.29,180.1,32,32,2017
Jhoulys Chac\xc3\xadn,3.89,180.1,32,32,2017
Jason Vargas,4.16,179.2,32,32,2017
Alex Cobb,3.66,179.1,29,29,2017
Masahiro Tanaka,4.74,178.1,30,30,2017
Trevor Bauer,4.19,176.1,32,31,2017
Stephen Strasburg,2.52,175.1,28,28,2017
Jimmy Nelson,3.49,175.1,29,29,2017
Clayton Kershaw,2.31,175.0,27,27,2017
Matt Moore,5.52,174.1,32,31,2017
Drew Pomeranz,3.32,173.2,32,32,2017
John Lackey,4.59,170.2,31,30,2017
Dylan Bundy,4.24,169.2,28,28,2017
Jos\xc3\xa9 Ure\xc3\xb1a,3.82,169.2,34,28,2017
Jake Arrieta,3.53,168.1,30,30,2017
Aaron Nola,3.54,168.0,27,27,2017
Andrew Cashner,3.4,166.2,28,28,2017
Michael Wacha,4.13,165.2,30,30,2017
Michael Fulmer,3.83,164.2,25,25,2017
Luis Perdomo,4.66,164.1,29,29,2017
Jeremy Hellickson,5.43,164.0,30,30,2017
Ty Blach,4.78,163.2,34,24,2017
Sonny Gray,3.53,163.0,27,27,2017
Robbie Ray,2.89,162.0,28,28,2017
Germ\xc3\xa1n M\xc3\xa1rquez,4.39,162.0,29,29,2017
Ar\xc3\xadel Miranda,5.12,160.0,31,29,2017
Jordan Zimmermann,6.08,160.0,29,29,2017
Sean Manaea,4.37,158.2,29,29,2017
Kyle Gibson,5.07,158.0,29,29,2017
