pitcher_name,ERA,IP,G,GS,year
Lance Lynn,3.32,84.0,13,13,2020
Germ\xc3\xa1n M\xc3\xa1rquez,3.75,81.2,13,13,2020
Kyle Hendricks,2.88,81.1,12,12,2020
Shane Bieber,1.63,77.1,12,12,2020
Yu Darvish,2.01,76.0,12,12,2020
Aaron Civale,4.74,74.0,12,12,2020
Brandon Woodruff,3.05,73.2,13,13,2020
Antonio Senzatela,3.44,73.1,12,12,2020
Gerrit Cole,2.84,73.0,12,12,2020
Trevor Bauer,1.73,73.0,11,11,2020
Lucas Giolito,3.48,72.1,12,12,2020
Zac Gallen,2.75,72.0,12,12,2020
Aaron Nola,3.28,71.1,12,12,2020
Zack Wheeler,2.92,71.0,11,11,2020
Framber Valdez,3.57,70.2,11,10,2020
Kyle Freeland,4.33,70.2,13,13,2020
Luis Castillo,3.21,70.0,12,12,2020
Marco Gonzales,3.1,69.2,11,11,2020
Zach Davies,2.71,69.2,12,12,2020
Dinelson Lamet,2.09,69.0,12,12,2020
Carlos Carrasco,2.91,68.0,12,12,2020
Jacob deGrom,2.38,68.0,12,12,2020
Max Scherzer,3.74,67.1,12,12,2020
Kyle Gibson,5.35,67.1,12,12,2020
Zack Greinke,4.03,67.0,12,12,2020
Hyun Jin Ryu,2.69,67.0,12,12,2020
Kenta Maeda,2.7,66.2,11,11,2020
Andrew Heaney,4.46,66.2,12,12,2020
Adam Wainwright,3.15,65.2,10,10,2020
Patrick Corbin,4.66,65.2,11,11,2020
Dylan Bundy,3.29,65.2,11,11,2020
Brady Singer,4.06,64.1,12,12,2020
Johnny Cueto,5.4,63.1,12,12,2020
Dallas Keuchel,1.99,63.1,11,11,2020
Jos\xc3\xa9 Berr\xc3\xados,4.0,63.0,12,12,2020
Chris Bassitt,2.29,63.0,11,11,2020
Alec Mills,4.48,62.1,11,11,2020
Mart\xc3\xadn P\xc3\xa9rez,4.5,62.0,12,12,2020
Jon Lester,5.16,61.0,12,12,2020
Matthew Boyd,6.71,60.1,12,12,2020
Corbin Burnes,2.11,59.2,12,9,2020
Kevin Gausman,3.62,59.2,12,10,2020
Zach Eflin,3.92,59.2,11,10,2020
Tyler Anderson,4.37,59.2,13,11,2020
Chris Paddack,4.73,59.0,12,12,2020
Rick Porcello,5.64,59.0,12,12,2020
Jes\xc3\xbas Luzardo,4.12,59.0,12,9,2020
Mike Fiers,4.58,59.0,11,11,2020
Clayton Kershaw,2.16,58.1,10,10,2020
Dylan Cease,4.01,58.1,12,12,2020
Jordan Lyles,7.02,57.2,12,9,2020
Tyler Glasnow,4.08,57.1,11,11,2020
Pablo L\xc3\xb3pez,3.61,57.1,11,11,2020
Mike Minor,5.56,56.2,12,11,2020
Spencer Turnbull,3.97,56.2,11,11,2020
Griffin Canning,3.99,56.1,11,11,2020
Danny Duffy,4.95,56.1,12,11,2020
Adrian Houser,5.3,56.0,12,11,2020
Sonny Gray,3.7,56.0,11,11,2020
Dustin May,2.57,56.0,12,10,2020
Max Fried,2.25,56.0,11,11,2020
Ryan Yarbrough,3.56,55.2,11,9,2020
Justus Sheffield,3.58,55.1,10,10,2020
Trevor Williams,6.18,55.1,11,11,2020
Zach Plesac,2.28,55.1,8,8,2020
Lance McCullers Jr.,3.93,55.0,11,11,2020
Julio Ur\xc3\xadas,3.27,55.0,11,10,2020
Brad Keller,2.47,54.2,9,9,2020
Logan Webb,5.47,54.1,13,11,2020
Cristian Javier,3.48,54.1,12,10,2020
Sean Manaea,4.5,54.0,11,11,2020
Taijuan Walker,2.7,53.1,11,11,2020
Frankie Montas,5.6,53.0,11,11,2020
An\xc3\xadbal S\xc3\xa1nchez,6.62,53.0,11,11,2020
Alex Cobb,4.3,52.1,10,10,2020
Garrett Richards,3.98,52.0,14,10,2020
Luke Weaver,6.58,52.0,12,12,2020
Robbie Ray,6.62,51.2,12,11,2020
Erick Fedde,4.29,50.1,11,8,2020
Blake Snell,3.24,50.0,11,11,2020
Kris Bubic,4.32,50.0,10,10,2020
David Peterson,3.44,49.2,10,9,2020
Austin Voth,6.34,49.2,11,11,2020
Ross Stripling,5.84,49.1,12,9,2020
J.A. Happ,3.47,49.1,9,9,2020
Nathan Eovaldi,3.72,48.1,9,9,2020
Masahiro Tanaka,3.56,48.0,10,10,2020
Tanner Roark,6.8,47.2,11,11,2020
Tyler Mahle,3.59,47.2,10,9,2020
JT Brubaker,4.94,47.1,11,9,2020
Brett Anderson,4.21,47.0,10,10,2020
Yusei Kikuchi,5.17,47.0,9,9,2020
Tony Gonsolin,2.31,46.2,9,8,2020
Randy Dobnak,4.05,46.2,10,10,2020
Chad Kuhl,4.27,46.1,11,9,2020
Alex Young,5.44,46.1,15,7,2020
Justin Dunn,4.34,45.2,10,10,2020
Josh Lindblom,5.16,45.1,12,10,2020
Jake Arrieta,5.08,44.1,9,9,2020
Ryan Castellani,5.73,44.0,10,9,2020
Jordan Montgomery,5.11,44.0,10,10,2020
John Means,4.53,43.2,10,10,2020
Taylor Clarke,4.36,43.1,12,5,2020
Ryan Weber,4.4,43.0,17,5,2020
Steven Brault,3.38,42.2,11,10,2020
Sandy Alcantara,3.0,42.0,7,7,2020
Mike Clevinger,3.02,41.2,8,8,2020
Madison Bumgarner,6.48,41.2,9,9,2020
Nick Margevicius,4.57,41.1,10,7,2020
Derek Holland,6.86,40.2,12,5,2020
Jack Flaherty,4.91,40.1,9,9,2020
Josh Tomlin,4.76,39.2,17,5,2020
Joe Musgrove,3.86,39.2,8,8,2020
Jon Gray,6.69,39.0,8,8,2020
Sixto S\xc3\xa1nchez,3.46,39.0,7,7,2020
Jorge L\xc3\xb3pez,6.69,39.0,10,6,2020
Tommy Milone,6.69,39.0,9,9,2020
Kwang Hyun Kim,1.62,39.0,8,7,2020
Dakota Hudson,2.77,39.0,8,8,2020
Rich Hill,3.03,38.2,8,8,2020
Charlie Morton,4.74,38.0,9,9,2020
Kyle Wright,5.21,38.0,8,8,2020
Asher Wojciechowski,6.81,37.0,10,7,2020
Seth Lugo,5.15,36.2,16,7,2020
Walker Buehler,3.44,36.2,8,8,2020
Patrick Sandoval,5.65,36.2,9,6,2020
Tyler Alexander,3.96,36.1,14,2,2020
Tejay Antone,2.8,35.1,13,4,2020
Thomas Eshelman,3.89,34.2,12,4,2020
Deivi Garc\xc3\xada,4.98,34.1,6,6,2020
Michael Wacha,6.62,34.0,8,7,2020
Dane Dunning,3.97,34.0,7,7,2020
Vince Velasquez,5.56,34.0,9,7,2020
Chase Anderson,7.22,33.2,10,7,2020
Anthony DeSclafani,7.22,33.2,9,7,2020
Kolby Allard,7.75,33.2,11,8,2020
Michael Lorenzen,4.28,33.2,18,2,2020
Triston McKenzie,3.24,33.1,8,6,2020
