pitcher_name,ERA,IP,G,GS,year
Seth Lugo,3.0,216.0,35,35,2024
Tarik Skubal,2.39,211.0,34,34,2024
Logan Gilbert,3.23,208.2,33,33,2024
Zack Wheeler,2.48,207.0,33,33,2024
Logan Webb,3.47,204.2,33,33,2024
Aaron Nola,3.66,204.1,34,34,2024
Corbin Burnes,2.85,202.1,33,33,2024
Sean Manaea,3.59,200.2,36,36,2024
Luis Severino,3.85,198.2,34,34,2024
Cole Ragans,3.03,196.1,34,34,2024
Dylan Cease,3.75,194.1,35,35,2024
Carlos Rod\xc3\xb3n,4.11,192.2,36,36,2024
Jos\xc3\xa9 Berr\xc3\xados,3.6,192.1,32,32,2024
George Kirby,3.53,191.0,33,33,2024
Tanner Bibee,3.47,189.1,35,35,2024
Jake Irvin,4.41,187.2,33,33,2024
Cristopher S\xc3\xa1nchez,3.33,186.2,32,32,2024
Michael King,3.01,185.2,33,32,2024
Pablo L\xc3\xb3pez,4.08,185.1,32,32,2024
Jose Quintana,3.7,184.2,34,34,2024
Jack Flaherty,3.67,184.0,33,33,2024
Kutter Crawford,4.36,183.2,33,33,2024
Brandon Pfaadt,4.71,181.2,32,32,2024
Kevin Gausman,3.83,181.0,31,31,2024
JP Sears,4.38,181.0,32,32,2024
Framber Valdez,2.99,180.2,29,29,2024
Bryce Miller,2.94,180.1,31,31,2024
Brady Singer,3.7,180.0,33,32,2024
Tyler Anderson,3.81,179.1,31,31,2024
Freddy Peralta,3.73,178.2,34,33,2024
Bailey Ober,3.98,178.2,31,31,2024
Tanner Houck,3.12,178.2,30,30,2024
Mitch Keller,4.25,178.0,31,31,2024
Chris Sale,2.38,177.2,29,29,2024
Erick Fedde,3.3,177.1,31,31,2024
Max Fried,3.47,176.1,30,30,2024
Nestor Cortes,3.83,176.1,33,30,2024
Yusei Kikuchi,4.05,175.2,32,32,2024
Hunter Brown,3.43,175.2,32,31,2024
Luis Castillo,3.64,175.1,30,30,2024
Michael Wacha,3.44,175.1,31,31,2024
Patrick Corbin,5.62,174.2,32,32,2024
Shota Imanaga,2.91,173.1,29,29,2024
Miles Mikolas,5.35,171.2,32,32,2024
Griffin Canning,5.19,171.2,32,31,2024
Chris Bassitt,4.16,171.0,31,31,2024
Nathan Eovaldi,3.8,170.2,29,29,2024
Kyle Gibson,4.24,169.2,30,30,2024
Zach Eflin,3.56,169.1,29,29,2024
Ronel Blanco,2.76,169.1,31,29,2024
Colin Rea,4.29,167.2,32,27,2024
Sonny Gray,3.84,166.1,28,28,2024
MacKenzie Gore,3.9,166.1,32,32,2024
Jameson Taillon,3.27,165.1,28,28,2024
Charlie Morton,4.19,165.1,30,30,2024
Austin Gomber,4.75,165.0,30,30,2024
Aaron Civale,4.28,164.0,32,31,2024
Ryan Feltner,4.49,162.1,30,30,2024
Brayan Bello,4.49,162.1,30,30,2024
Chris Flexen,4.95,160.0,33,31,2024
Andrew Heaney,4.28,160.0,32,31,2024
Luis Gil,3.66,159.2,31,31,2024
Zack Littell,3.63,156.1,29,29,2024
Ranger Suarez,3.37,155.0,28,28,2024
Marcus Stroman,4.31,154.2,30,29,2024
Frankie Montas,4.78,154.1,31,31,2024
Ben Lively,3.78,152.1,30,29,2024
Mitch Spence,4.58,151.1,35,24,2024
Mitchell Parker,4.29,151.0,29,29,2024
Ryne Nelson,4.24,150.2,28,25,2024
Hunter Greene,2.75,150.1,26,26,2024
Cal Quantrill,4.98,148.1,29,29,2024
Zac Gallen,3.65,148.0,28,28,2024
Javier Assad,3.73,147.0,29,29,2024
Matt Waldron,4.91,146.2,27,26,2024
Garrett Crochet,3.58,146.0,31,31,2024
Spencer Arrighetti,4.53,145.0,29,28,2024
Tobias Myers,2.9,143.0,28,26,2024
Bailey Falter,4.43,142.1,28,28,2024
Nick Martinez,3.1,142.1,42,16,2024
Gavin Stone,3.53,140.1,25,25,2024
Nick Pivetta,4.19,139.2,26,26,2024
Taj Bradley,4.11,138.0,25,25,2024
Andrew Abbott,3.72,138.0,25,25,2024
Reynaldo L\xc3\xb3pez,1.99,135.2,26,25,2024
Luis Ortiz,3.32,135.2,37,15,2024
