pitcher_name,ERA,IP,G,GS,year
Aaron Nola,3.43,230.2,37,37,2022
Sandy Alcantara,2.28,228.2,32,32,2022
Framber Valdez,2.66,226.1,35,35,2022
Yu Darvish,3.07,219.2,34,34,2022
Gerrit Cole,3.45,219.0,36,36,2022
Shane Bieber,2.83,213.1,33,33,2022
Miles Mikolas,3.31,206.2,34,33,2022
Triston McKenzie,2.98,202.1,33,32,2022
Alek Manoah,2.36,202.1,32,32,2022
Corbin Burnes,2.94,202.0,33,33,2022
Merrill Kelly,3.37,200.1,33,33,2022
Joe Musgrove,2.93,199.2,33,33,2022
Cal Quantrill,3.48,196.1,34,34,2022
Mart\xc3\xadn P\xc3\xa9rez,2.89,196.1,32,32,2022
Justin Verlander,2.17,195.0,32,32,2022
Robbie Ray,3.88,192.2,35,33,2022
Logan Webb,2.9,192.1,32,32,2022
Adam Wainwright,3.71,191.2,32,32,2022
Logan Gilbert,3.25,191.0,33,33,2022
Max Fried,2.62,188.2,31,31,2022
Zack Wheeler,2.81,188.2,32,32,2022
Kyle Wright,3.09,186.1,31,31,2022
Chris Bassitt,3.49,185.2,31,31,2022
Dylan Cease,2.2,184.0,32,32,2022
Zac Gallen,2.54,184.0,31,31,2022
Tyler Anderson,2.5,183.2,31,29,2022
Marco Gonzales,4.13,183.0,32,32,2022
Jameson Taillon,3.96,181.2,34,33,2022
Germ\xc3\xa1n M\xc3\xa1rquez,4.95,181.2,31,31,2022
Cole Irvin,3.98,181.0,30,30,2022
Jordan Montgomery,3.43,181.0,33,32,2022
Kevin Gausman,3.44,180.1,32,32,2022
Julio Ur\xc3\xadas,2.25,180.0,32,32,2022
Pablo L\xc3\xb3pez,3.75,180.0,32,32,2022
Nick Pivetta,4.56,179.2,33,33,2022
Jordan Lyles,4.42,179.0,32,32,2022
Carlos Rod\xc3\xb3n,2.88,178.0,31,31,2022
Kyle Freeland,4.53,174.2,31,31,2022
Charlie Morton,4.45,174.0,32,32,2022
Shane McClanahan,2.54,173.1,29,29,2022
Jos\xc3\xa9 Berr\xc3\xados,5.23,172.0,32,32,2022
Jose Quintana,2.84,171.0,33,33,2022
Nestor Cortes,2.59,170.1,31,31,2022
Ranger Suarez,3.44,170.0,34,32,2022
Kyle Gibson,4.98,170.0,33,31,2022
Jos\xc3\xa9 Urquidy,3.87,167.1,30,28,2022
Shohei Ohtani,2.33,166.0,28,28,2022
Corey Kluber,4.35,165.2,32,31,2022
Luis Castillo,2.9,164.2,27,27,2022
Luis Garcia,3.64,163.0,30,28,2022
Lucas Giolito,4.9,161.2,30,30,2022
Cristian Javier,2.4,161.1,33,27,2022
Sean Manaea,5.2,159.1,31,28,2022
Mitch Keller,3.91,159.0,31,29,2022
Madison Bumgarner,4.88,158.2,30,30,2022
Eric Lauer,3.69,158.2,29,29,2022
Johnny Cueto,3.35,158.1,25,24,2022
Taijuan Walker,3.49,157.1,29,29,2022
Brady Singer,3.23,153.1,27,24,2022
Brandon Woodruff,3.05,153.1,27,27,2022
Dane Dunning,4.46,153.1,29,29,2022
Patrick Corbin,6.31,152.2,31,31,2022
Carlos Carrasco,3.97,152.0,29,29,2022
Max Scherzer,2.63,150.1,24,24,2022
Alex Cobb,3.73,149.2,28,28,2022
Patrick Sandoval,2.91,148.2,27,27,2022
Josiah Gray,5.02,148.2,28,28,2022
Drew Rasmussen,2.8,147.2,29,28,2022
Joe Ryan,3.55,147.0,27,27,2022
Frankie Montas,4.09,145.1,28,27,2022
JT Brubaker,4.69,144.0,28,28,2022
Noah Syndergaard,3.9,143.0,29,26,2022
Blake Snell,3.49,141.2,27,27,2022
Dylan Bundy,4.89,140.0,29,29,2022
Brad Keller,5.09,139.2,35,22,2022
Dakota Hudson,4.45,139.2,27,26,2022
Marcus Stroman,3.5,138.2,25,25,2022
George Kirby,3.2,138.0,27,26,2022
Chris Flexen,3.73,137.2,33,22,2022
Zack Greinke,3.68,137.0,26,26,2022
Chad Kuhl,5.72,137.0,27,27,2022
Glenn Otto,4.64,135.2,27,27,2022
Jeffrey Springs,2.46,135.1,33,25,2022
Zach Davies,4.09,134.1,27,27,2022
Ross Stripling,3.01,134.1,32,24,2022
Spencer Strider,2.96,134.0,32,21,2022
James Kaprielian,4.23,134.0,26,26,2022
Zach Plesac,4.27,132.2,26,24,2022
Daniel Lynch IV,5.13,131.2,27,27,2022
Tony Gonsolin,2.19,131.2,25,25,2022
Clayton Kershaw,2.4,131.1,23,23,2022
Alex Wood,5.1,130.2,26,26,2022
Kris Bubic,5.58,129.0,28,27,2022
Reid Detmers,3.77,129.0,25,25,2022
Michael Wacha,3.32,127.1,23,23,2022
Jon Gray,3.96,127.1,24,24,2022
Erick Fedde,5.81,127.0,27,27,2022
Hunter Greene,4.44,125.2,24,24,2022
Dean Kremer,3.23,125.1,22,21,2022
Austin Gomber,5.56,124.2,33,17,2022
Rich Hill,4.27,124.1,26,26,2022
Lance Lynn,3.99,121.2,21,21,2022
Zach Thompson,5.18,121.2,29,22,2022
Tyler Mahle,4.4,120.2,23,23,2022
Sonny Gray,3.08,119.2,24,24,2022
Michael Kopech,3.54,119.1,25,25,2022
Justin Steele,3.18,119.0,24,24,2022
Tarik Skubal,3.52,117.2,21,21,2022
Kyle Bradish,4.9,117.2,23,23,2022
Nick Martinez,3.22,117.1,54,10,2022
Mike Clevinger,4.77,117.0,25,24,2022
Bryse Wilson,5.52,115.2,25,20,2022
Keegan Thompson,3.76,115.0,29,17,2022
Paolo Espino,4.84,113.1,42,19,2022
Luis Severino,3.35,113.0,21,21,2022
Jakob Junis,4.42,112.0,23,17,2022
Ian Anderson,5.0,111.2,22,22,2022
Paul Blackburn,4.28,111.1,21,21,2022
Nathan Eovaldi,3.87,109.1,20,20,2022
Jake Odorizzi,4.45,109.1,23,22,2022
Jos\xc3\xa9 Suarez,3.96,109.0,22,20,2022
Andre Pallante,3.31,108.2,48,10,2022
David Peterson,3.85,107.2,30,19,2022
Aaron Ashby,4.44,107.1,27,19,2022
Trevor Rogers,5.47,107.0,23,23,2022
Drew Smyly,3.47,106.1,22,22,2022
Drew Hutchison,4.53,105.1,28,18,2022
Spenser Watkins,4.7,105.1,23,20,2022
Graham Ashcraft,4.89,105.0,19,19,2022
Adrian Sampson,3.11,104.1,21,19,2022
Jonathan Heasley,5.28,104.0,21,21,2022
Tyler Wells,4.25,103.2,23,23,2022
Nick Lodolo,3.66,103.1,19,19,2022
Adrian Houser,4.73,102.2,22,21,2022
Chris Archer,4.56,102.2,25,25,2022
Austin Voth,4.34,101.2,41,17,2022
Tyler Alexander,4.81,101.0,27,17,2022
Yusei Kikuchi,5.19,100.2,32,20,2022
Jes\xc3\xbas Luzardo,3.32,100.1,18,18,2022
Taylor Hearn,5.13,100.0,31,13,2022
